Protein.Group,Protein.Ids,Protein.Names,Genes,Peptides,First.Protein.Description,EctoNanogAbk1,EctoNanogAbk2,EctoNanogAbk3,EctoNanogBock1,EctoNanogBock2,EctoNanogBock3,ESCNanogAbk1,ESCNanogAbk2,ESCNanogAbk3,ESCNanogBock1,ESCNanogBock2,ESCNanogBock3
A0A0U1RR33,A0A0U1RR33,A0A0U1RR33_HUMAN,KRTAP9-1,1,"Isoform of A8MXZ3, Keratin-associated protein 9-1",,,,,,,4477960,,278507,,,
A0A1B0GTR4,A0A1B0GTR4,SPRR5_HUMAN,SPRR5,3,Putative small proline-rich protein 5,,,,,,,,,,,,191398
A0A1B0GUS7,A0A1B0GUS7,A0A1B0GUS7_HUMAN,UNC13B,2,"Isoform of O14795, Protein unc-13 homolog B",781944,437886,,,,,,479103,,461948,,
A0A1B0GVI3,A0A1B0GVI3,A0A1B0GVI3_HUMAN,KRT10,2,"Isoform of P13645, Keratin, type I cytoskeletal 10 (Fragment)",,,,,,,,,,,,
A0A2Q2TTZ9,A0A2Q2TTZ9,A0A2Q2TTZ9_HUMAN,IGKV1D-33,1,"Isoform of P01593, Immunoglobulin kappa variable 1-33",,,,,,,,,,,,
A0A2R8YFE2,A0A2R8YFE2,A0A2R8YFE2_HUMAN,ACTB,1,"Isoform of P60709, Actin, cytoplasmic 1 (Fragment)",,,,,,,,,,,,
A0A3B3ISB1,A0A3B3ISB1,A0A3B3ISB1_HUMAN,DOCK2,1,"Isoform of Q92608, Dedicator of cytokinesis protein 2 (Fragment)",,,431477,,,,,416805,,,,
A0A3B3ISR4,A0A3B3ISR4,A0A3B3ISR4_HUMAN,ITPR1,1,"Isoform of Q14643, Inositol 1,4,5-trisphosphate receptor type 1 (Fragment)",121854,67462.6,79353.3,227168,220625,164118,99115.9,59266.8,81420.8,134771,167748,232660
A0FGR8;A0FGR8-6,A0A087WXU3;A0FGR8-6;A0FGR8,ESYT2-6_HUMAN;ESYT2_HUMAN,ESYT2,1,Extended synaptotagmin-2,,,,,,,,,,,,
A1A5D9;A1A5D9-2,A0A2R8Y2X6;A1A5D9-2;A1A5D9,BICL2-2_HUMAN;BICL2_HUMAN,BICDL2,1,BICD family-like cargo adapter 2,,,,,,,,,,,,
A1X283,A1X283,SPD2B_HUMAN,SH3PXD2B,2,SH3 and PX domain-containing protein 2B,,,,,,,,,,,,
A4D1E9,C9J8R7;C9JNI1;A4D1E9,GTPBA_HUMAN,GTPBP10,1,GTP-binding protein 10,,,,,,,,,,,,
A4FU69;A4FU69-3,A4FU69-3;H0Y843;A4FU69,EFCB5-3_HUMAN;EFCB5_HUMAN,EFCAB5,1,EF-hand calcium-binding domain-containing protein 5,,,,,,,,,,,,
A5YKK6;A5YKK6-2,A5YKK6-2;A5YKK6,CNOT1-2_HUMAN;CNOT1_HUMAN,CNOT1,4,CCR4-NOT transcription complex subunit 1,,,,,,,,,,,,
A6NCE7;Q9GZQ8;Q9H492;Q9H492-2,H3BTL1;Q9H492-2;A6NCE7;Q9GZQ8;Q9H492,MLP3A-2_HUMAN;MLP3A_HUMAN;MLP3B_HUMAN;MP3B2_HUMAN,MAP1LC3A;MAP1LC3B;MAP1LC3B2,1,Microtubule-associated proteins 1A/1B light chain 3 beta 2,848035,943244,939652,,,,506450,492416,536149,,,
A6NCW0;A8MUK1;C9J2P7;C9JJH3;C9JLJ4;C9JPN9;C9JVI0;D6R901;D6R9N7;D6RA61;D6RBQ6;D6RCP7;D6RJB6;Q0WX57;Q7RTZ2,A0A087WTA0;A0A087WTC1;A0A087WTF5;A0A087WUD4;A0A087WUW7;A0A087WVW9;A0A087WWE9;A0A087WY87;A0A087WYD9;A0A087X1Q3;I3L0E4;A6NCW0;A8MUK1;C9J2P7;C9JJH3;C9JLJ4;C9JPN9;C9JVI0;D6R901;D6R9N7;D6RA61;D6RBQ6;D6RCP7;D6RJB6;Q0WX57;Q7RTZ2,U17L1_HUMAN;U17L3_HUMAN;U17L5_HUMAN;U17LA_HUMAN;U17LB_HUMAN;U17LD_HUMAN;U17LF_HUMAN;U17LH_HUMAN;U17LI_HUMAN;U17LJ_HUMAN;U17LK_HUMAN;U17LL_HUMAN;U17LM_HUMAN;U17LO_HUMAN;UL17C_HUMAN,USP17L1;USP17L10;USP17L11;USP17L12;USP17L13;USP17L15;USP17L17;USP17L18;USP17L19;USP17L20;USP17L21;USP17L22;USP17L3;USP17L30;USP17L5,1,Ubiquitin carboxyl-terminal hydrolase 17-like protein 3,,,,,,3176670,,,,,,
A6NHQ2,A6NHQ2,FBLL1_HUMAN,FBLL1,2,rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1,,,,340389,464368,295368,,,,374673,361262,
A8K2U0,A8K2U0,A2ML1_HUMAN,A2ML1,26,Alpha-2-macroglobulin-like protein 1,194285,,143343,,,,,,,,208868,329216
A8MT70;A8MT70-3,A8MT70-3;A8MT70,ZBBX-3_HUMAN;ZBBX_HUMAN,ZBBX,1,Zinc finger B-box domain-containing protein 1,117885,,148917,,,,,,,,,
A8MTY7;Q9BYP9;Q9BYP9-2;Q9BYP9-3;Q9BYQ0;Q9BYQ3;Q9BYQ4,A0A140TA58;Q9BYP9-2;Q9BYP9-3;A0A140TA67;A8MTY7;Q9BYP9;Q9BYQ0;Q9BYQ3;Q9BYQ4,KRA92_HUMAN;KRA93_HUMAN;KRA97_HUMAN;KRA98_HUMAN;KRA99-2_HUMAN;KRA99-3_HUMAN;KRA99_HUMAN,KRTAP9-2;KRTAP9-3;KRTAP9-7;KRTAP9-8;KRTAP9-9,1,Keratin-associated protein 9-7,,,,,,,,,,,,
A8MWD9;P62308,C9JVQ0;F5H013;Q49AN9;A8MWD9;P62308,RUXGL_HUMAN;RUXG_HUMAN,SNRPG;SNRPGP15,3,Putative small nuclear ribonucleoprotein G-like protein 15,1051600,756055,556570,,,,348931,200571,454430,,,
A9QM74,A9QM74,IMA8_HUMAN,KPNA7,1,Importin subunit alpha-8,,,,,,,,,,,,
B2RC85;B2RC85-2;P0C881,B2RC85-2;H0YFY2;B2RC85;P0C881,R10B1_HUMAN;R10B2-2_HUMAN;R10B2_HUMAN,RSPH10B;RSPH10B2,1,Radial spoke head 10 homolog B2,,,,,,,,,,,,
B2RTY4;B2RTY4-2;B2RTY4-4;B2RTY4-5,B2RTY4-2;B2RTY4-4;B2RTY4-5;H3BMM1;H3BRD5;B2RTY4,MYO9A-2_HUMAN;MYO9A-4_HUMAN;MYO9A-5_HUMAN;MYO9A_HUMAN,MYO9A,1,Unconventional myosin-IXa,,,,189084,,,,,,,,
B3EWG3;B3EWG5;B3EWG6,B3EWG3;B3EWG5;B3EWG6,FM25A_HUMAN;FM25C_HUMAN;FM25G_HUMAN,FAM25A;FAM25C;FAM25G,1,Protein FAM25A,,,,,,,,,43554,,,
B4DPS1,B4DPS1,B4DPS1_HUMAN,STK16,1,"Isoform of O75716, Serine/threonine-protein kinase 16",,490817,523563,,209426,,,541897,,892203,335765,711002
B5ME19;Q99613;Q99613-2,Q99613-2;B5ME19;Q99613,EIF3C-2_HUMAN;EIF3C_HUMAN;EIFCL_HUMAN,EIF3C;EIF3CL,10,Eukaryotic translation initiation factor 3 subunit C-like protein,84824.1,85449.2,,,,,410061,313061,485774,,,
B7ZW38;O60812;P0DMR1,A0A0G2JPF8;B7ZW38;O60812;P0DMR1,HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN,HNRNPCL1;HNRNPCL3;HNRNPCL4,1,Heterogeneous nuclear ribonucleoprotein C-like 3,,,,,,,,,,,,
B9A064,A0A0B4J231;B9A064;P0CF74;P0CG04;P0DOY2;P0DOY3,IGLL5_HUMAN,IGLL5,2,Immunoglobulin lambda-like polypeptide 5,,,,,,,,,,,,
C9JAD7,C9JAD7,C9JAD7_HUMAN,ARHGEF7,1,"Isoform of Q14155, Rho guanine nucleotide exchange factor 7 (Fragment)",356085,353790,375092,399464,467753,,237132,,178942,,,
C9JHD8,C9JHD8,C9JHD8_HUMAN,ELL3,1,"Isoform of Q9HB65, RNA polymerase II elongation factor ELL3 (Fragment)",278798,288639,,,711411,,,411473,,,,343558
C9JUF0,C9JUF0,C9JUF0_HUMAN,EIF4A2,1,"Isoform of Q14240, Eukaryotic initiation factor 4A-II (Fragment)",,,,,,,,,,,,
E9PAV3;E9PAV3-2;Q13765,E9PAV3-2;F8VNW4;F8VZJ2;F8W0W4;F8W1N5;H0YHX9;Q13765;E9PAV3,NACAM-2_HUMAN;NACAM_HUMAN;NACA_HUMAN,NACA,5,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",587137,477818,624671,248528,209536,,751529,718625,737964,,,
E9PB61,E9PB61,E9PB61_HUMAN,ALYREF,1,"Isoform of Q86V81, THO complex subunit 4",,,,,,,,,,,,
E9PK54,E9PK54,E9PK54_HUMAN,HSPA8,1,"Isoform of P11142, Heat shock cognate 71 kDa protein (Fragment)",260401,431483,300511,,,,395758,406867,434166,107497,,99112.3
E9PM64,E9PM64,E9PM64_HUMAN,DNHD1,1,"Isoform of Q96M86, Dynein heavy chain domain-containing protein 1 (Fragment)",,,,,,,,,,,,
E9PRG8,A0A494BXY3;E9PLD3;E9PRG8,CK098_HUMAN,C11orf98,5,Uncharacterized protein C11orf98,3514160,4399090,4166630,4464810,3509750,2653010,1771050,1989190,1529430,1495700,1316210,1474200
F2Z2S1,F2Z2S1,F2Z2S1_HUMAN,SPATS2L,1,"Isoform of Q9NUQ6, SPATS2-like protein (Fragment)",,,,,,,,,,,,
F5GZH5,F5GZH5,F5GZH5_HUMAN,RIMKLB,1,"Isoform of Q9ULI2, Beta-citrylglutamate synthase B (Fragment)",,,,,,,,,,,,
F8VWZ5,F8VWZ5,F8VWZ5_HUMAN,HLX,1,"Isoform of Q14774, H2.0-like homeobox protein (Fragment)",,,,,,,,,,,,
F8WEG7,F8WEG7,F8WEG7_HUMAN,SF1,1,"Isoform of Q15637, Splicing factor 1",,,,410998,396541,,,507136,444664,,,
H7BZJ3,H7BZJ3,H7BZJ3_HUMAN,PDIA3,1,"Isoform of P30101, Protein disulfide-isomerase A3 (Fragment)",3770900,4119150,3986480,1232760,1214740,,2351370,3066990,2621960,352874,167156,411635
H7C4D1,H7C4D1,H7C4D1_HUMAN,KCNJ13,1,"Isoform of O60928, Inward rectifier potassium channel 13 (Fragment)",137015,,,,,,190306,,183998,,,
K7EK43,K7EK43,K7EK43_HUMAN,TUBB6,1,"Isoform of Q9BUF5, Tubulin beta-6 chain (Fragment)",,,,,,,,,,,,
K7EMS3,K7EMS3,K7EMS3_HUMAN,KRT19,2,"Isoform of P08727, Keratin, type I cytoskeletal 19 (Fragment)",1061870,383404,1487610,,639091,,259950,430110,270346,630184,,1031870
K7EPT8,K7EPT8,K7EPT8_HUMAN,GFAP,1,"Isoform of P14136, Glial fibrillary acidic protein (Fragment)",276195,,,,,,,,,,263990,152220
K7ER90,K7ER90,K7ER90_HUMAN,EIF3G,1,"Isoform of O75821, Eukaryotic translation initiation factor 3 subunit G (Fragment)",,,,,,,,,,,,
L0R6Q1,L0R6Q1,S35U4_HUMAN,SLC35A4,1,"Isoform of Q96G79, SLC35A4 upstream open reading frame protein",64964.8,,,,,,,,,,,
M0QZL0,M0QZL0,M0QZL0_HUMAN,USP29,1,"Isoform of Q9HBJ7, Ubiquitin carboxyl-terminal hydrolase 29 (Fragment)",,,,,,,,,,,,
M0R140,M0R140,M0R140_HUMAN,RPS19,1,"Isoform of P39019, 40S ribosomal protein S19 (Fragment)",,,,,88461.5,,,245895,,,180133,
O00115;O00115-2,K7ENE5;O00115-2;O00115,DNS2A-2_HUMAN;DNS2A_HUMAN,DNASE2,3,Deoxyribonuclease-2-alpha,576983,620877,562745,,,,,236204,,,,
O00116,A0A1B0GWA2;A0A2R8YEL0;O00116,ADAS_HUMAN,AGPS,8,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",370820,398971,377438,115246,,,213408,235854,216212,,,
O00139;O00139-1;O00139-2;O00139-4;O00139-5,O00139-1;O00139-2;O00139-4;O00139-5;O00139,KIF2A-1_HUMAN;KIF2A-2_HUMAN;KIF2A-4_HUMAN;KIF2A-5_HUMAN;KIF2A_HUMAN,KIF2A,4,Kinesin-like protein KIF2A,,,,,,,,,64882.9,,,
O00148,A0A0D9SEM9;K7EQN7;O00148-2;O00148-3;O00148,DX39A_HUMAN,DDX39A,4,ATP-dependent RNA helicase DDX39A,,,88654.7,,,,134935,84542.8,140680,,,56006.3
O00151,O00151,PDLI1_HUMAN,PDLIM1,5,PDZ and LIM domain protein 1,,,76458.9,,,,190946,199067,174845,,,
O00154;O00154-4;O00154-5;O00154-6;O00154-7,K7EKP8;O00154-2;O00154-3;O00154-4;O00154-5;O00154-6;O00154-7;O00154,BACH-4_HUMAN;BACH-5_HUMAN;BACH-6_HUMAN;BACH-7_HUMAN;BACH_HUMAN,ACOT7,6,Cytosolic acyl coenzyme A thioester hydrolase,187388,172442,,,,,802963,538744,652890,,,92948.1
O00161;O00161-2,H3BM38;H3BNE1;H3BPJ0;H3BR18;O00161-2;O00161,SNP23-2_HUMAN;SNP23_HUMAN,SNAP23,3,Synaptosomal-associated protein 23,90549.3,101502,84427.6,,,,,,,,,
O00170,O00170,AIP_HUMAN,AIP,2,AH receptor-interacting protein,,,,,,,208386,195387,,,,
O00178,F5H257;F5H716;O00178,GTPB1_HUMAN,GTPBP1,3,GTP-binding protein 1,,,,,,,84133.2,,124383,,,
O00193,E9PM92;E9PQA1;O00193,SMAP_HUMAN,SMAP,2,Small acidic protein,,,,,,,,,50082.3,,,
O00217,E9PN51;E9PPW7;F8W9K7;O00217,NDUS8_HUMAN,NDUFS8,3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",,,,,,,,,,,,
O00231;O00231-2,O00231-2;O00231,PSD11-2_HUMAN;PSD11_HUMAN,PSMD11,11,26S proteasome non-ATPase regulatory subunit 11,,,,,,,256965,274296,252749,,,
O00232,O00232-2;O00232,PSD12_HUMAN,PSMD12,8,26S proteasome non-ATPase regulatory subunit 12,130994,137320,,,,,335446,442153,298949,,,116235
O00233,J3KN29;O00233-3;O00233,PSMD9_HUMAN,PSMD9,1,26S proteasome non-ATPase regulatory subunit 9,,,,,,,,,,,,
O00264,O00264-2;O00264,PGRC1_HUMAN,PGRMC1,7,Membrane-associated progesterone receptor component 1,958805,917384,917904,803772,,715458,1247520,1071830,1104510,638714,472976,651620
O00267;O00267-2,O00267-2;O00267,SPT5H-2_HUMAN;SPT5H_HUMAN,SUPT5H,6,Transcription elongation factor SPT5,,,,,,,,,67666.6,,,
O00268,O00268,TAF4_HUMAN,TAF4,4,Transcription initiation factor TFIID subunit 4,46060.8,,70028.4,,,,78433.2,,86641.1,,,
O00291;O00291-3;O00291-4,O00291-3;O00291-4;O00291,HIP1-3_HUMAN;HIP1-4_HUMAN;HIP1_HUMAN,HIP1,1,Huntingtin-interacting protein 1,,,,,,,,,,,,
O00299,O00299,CLIC1_HUMAN,CLIC1,7,Chloride intracellular channel protein 1,108120,,98678.7,,,,495376,337130,588733,,,
O00303,O00303,EIF3F_HUMAN,EIF3F,7,Eukaryotic translation initiation factor 3 subunit F,267443,198949,205507,,,,428931,540387,550243,,,394209
O00330;O00330-3,H0YD97;O00330-2;O00330-3;O00330,ODPX-3_HUMAN;ODPX_HUMAN,PDHX,6,"Pyruvate dehydrogenase protein X component, mitochondrial",,,,,,,,,,,,
O00410;O00410-3,H0Y8C6;O00410-2;O00410-3;O00410,IPO5-3_HUMAN;IPO5_HUMAN,IPO5,13,Importin-5,109245,,,,,,276380,165212,204415,,,
O00422-2,O00422-2;U3KQ12;O00422,SAP18-2_HUMAN,SAP18,13,"Isoform of O00422, Isoform 2 of Histone deacetylase complex subunit SAP18",17132700,17359800,19114300,19970900,16313200,14088000,6686950,7871900,6193350,9441780,6694660,7358850
O00425,O00425-2;O00425,IF2B3_HUMAN,IGF2BP3,16,Insulin-like growth factor 2 mRNA-binding protein 3,542171,512405,511826,279951,308792,,490287,780611,516402,583209,268136,413622
O00429;O00429-2;O00429-3;O00429-4;O00429-5;O00429-6;O00429-8,G8JLD5;O00429-2;O00429-3;O00429-4;O00429-5;O00429-6;O00429-7;O00429-8;O00429,DNM1L-2_HUMAN;DNM1L-3_HUMAN;DNM1L-4_HUMAN;DNM1L-5_HUMAN;DNM1L-6_HUMAN;DNM1L-8_HUMAN;DNM1L_HUMAN,DNM1L,2,Dynamin-1-like protein,,,,,,,97858.9,,155942,,,
O00443,O00443,P3C2A_HUMAN,PIK3C2A,2,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,,,,,,,,,,,,
O00444;O00444-2;O00444-3,J3KR82;J3KR84;O00444-2;O00444-3;O00444,PLK4-2_HUMAN;PLK4-3_HUMAN;PLK4_HUMAN,PLK4,1,Serine/threonine-protein kinase PLK4,,,,,,,,,,,,
O00462,A0A2R8Y211;A0A2R8Y4U7;A0A2R8Y524;A0A2R8Y7A0;A0A2R8Y7A7;A0A2R8YCE9;A0A2R8YE79;A0A2R8YEC9;O00462,MANBA_HUMAN,MANBA,10,Beta-mannosidase,159908,127180,94489.2,,,,,,,,,
O00468;O00468-2;O00468-3;O00468-4;O00468-5;O00468-6;O00468-7,A0A087X208;A0A494C0G5;A0A494C1I6;O00468-2;O00468-3;O00468-4;O00468-5;O00468-6;O00468-7;O00468,AGRIN-2_HUMAN;AGRIN-3_HUMAN;AGRIN-4_HUMAN;AGRIN-5_HUMAN;AGRIN-6_HUMAN;AGRIN-7_HUMAN;AGRIN_HUMAN,AGRN,1,Agrin,,,,,,,,,,,,
O00469;O00469-2;O00469-3,E7ETU9;O00469-2;O00469-3;O00469,PLOD2-2_HUMAN;PLOD2-3_HUMAN;PLOD2_HUMAN,PLOD2,1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",,,,,,,,,,,,
O00479,O00479,HMGN4_HUMAN,HMGN4,1,High mobility group nucleosome-binding domain-containing protein 4,83365.2,274328,143388,147966,,,,,,,,
O00483,O00483,NDUA4_HUMAN,NDUFA4,5,Cytochrome c oxidase subunit NDUFA4,296008,268737,205863,230819,104491,,308380,379166,304355,170424,,171641
O00487,O00487,PSDE_HUMAN,PSMD14,3,26S proteasome non-ATPase regulatory subunit 14,390558,493063,532950,312614,193825,,795625,876987,867897,607873,473734,565160
O00488,A9J4F5;O00488,ZN593_HUMAN,ZNF593,4,Zinc finger protein 593,438915,395074,371674,,,,,80416.2,133735,,,
O00505,O00505,IMA4_HUMAN,KPNA3,2,Importin subunit alpha-4,,,,,,,,,,,,
O00541;O00541-2,B3KXD6;B5MCF9;O00541-2;O00541,PESC-2_HUMAN;PESC_HUMAN,PES1,7,Pescadillo homolog,136227,184463,175303,154516,,,258299,240179,245031,238348,,73297.3
O00560;O00560-3,O00560-3;O00560,SDCB1-3_HUMAN;SDCB1_HUMAN,SDCBP,1,Syntenin-1,,,,,,,,,53080,,,
O00567,A0A494C128;H0Y653;H0YDU4;O00567,NOP56_HUMAN,NOP56,13,Nucleolar protein 56,195133,197619,181453,97025.4,,,305874,189058,274939,171214,66538.6,245536
O00571;O00571-2,A0A0D9SF53;A0A0D9SFB3;A0A0D9SG12;A0A2R8Y4A4;A0A2R8Y5G6;A0A2R8Y645;A0A2R8Y7T2;A0A2R8YCW1;A0A2R8YDH3;A0A2R8YDT5;A0A2R8YF78;A0A2R8YFR4;A0A2R8YFS5;A0A2U3TZJ9;D6RCM4;F6S8Q4;O00571-2;O15523-2;Q9NQI0-2;Q9NQI0-3;Q9NQI0-4;O00571;O15523;Q9NQI0,DDX3X-2_HUMAN;DDX3X_HUMAN,DDX3X,18,ATP-dependent RNA helicase DDX3X,530215,497132,461303,468794,,,828924,709795,826167,948133,,753213
O00584,A0A087WZM2;D6REQ6;D6RHI9;H0YAE9;O00584,RNT2_HUMAN,RNASET2,1,Ribonuclease T2,,,,,,,,,,,,
O00592;O00592-2,O00592-2;O00592,PODXL-2_HUMAN;PODXL_HUMAN,PODXL,9,Podocalyxin,3998760,4257830,3922070,2369060,2033380,1824320,1350570,1694370,1198540,307338,201042,335115
O00622,O00622,CCN1_HUMAN,CCN1,5,CCN family member 1,229938,281473,250363,356983,266199,,147862,112971,105630,,59666.2,89298
O00743;O00743-2;O00743-3,O00743-2;O00743-3;O00743,PPP6-2_HUMAN;PPP6-3_HUMAN;PPP6_HUMAN,PPP6C,2,Serine/threonine-protein phosphatase 6 catalytic subunit,,,,,,,,,36340.9,,,
O00746,A0A087WVT9;F2Z2X0;H0Y6J0;Q4TT34;O00746,NDKM_HUMAN,NME4,7,"Nucleoside diphosphate kinase, mitochondrial",486358,493305,528175,198559,,,1002870,,199206,,,
O00754;O00754-2,M0R174;O00754-2;O00754,MA2B1-2_HUMAN;MA2B1_HUMAN,MAN2B1,1,Lysosomal alpha-mannosidase,,,,,,,,,,,,
O00762;O00762-3;O00762-4,A0A087WVK1;A0A0A0MSE8;K4DI81;O00762-3;O00762-4;O00762,UBE2C-3_HUMAN;UBE2C-4_HUMAN;UBE2C_HUMAN,UBE2C,1,Ubiquitin-conjugating enzyme E2 C,,,,,,,109428,,,,,
O00767,O00767,ACOD_HUMAN,SCD,1,Acyl-CoA desaturase,228250,255245,230747,153302,,,564988,584326,442306,236627,,284718
O14497;O14497-2,O14497-2;O14497,ARI1A-2_HUMAN;ARI1A_HUMAN,ARID1A,7,AT-rich interactive domain-containing protein 1A,60809.7,59970.9,,,,,65614,77668.1,,,,
O14526;O14526-2;O14526-3,A0A0C3SFZ9;M0QXD1;M0QXW2;M0QY09;M0QZE1;M0QZI3;M0QZI9;M0QZS1;M0R1K4;M0R3E5;M0R3E7;O14526-2;O14526-3;O14526,FCHO1-2_HUMAN;FCHO1-3_HUMAN;FCHO1_HUMAN,FCHO1,1,F-BAR domain only protein 1,,,,,,504627,,,,,,
O14531,Q5T0Q6;O14531,DPYL4_HUMAN,DPYSL4,1,Dihydropyrimidinase-related protein 4,,,,,,,,,,,,
O14548,E5RJZ1;H0YBD2;O14548,COX7R_HUMAN,COX7A2L,3,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",,,,,,,,63439.6,,,,
O14556,O14556,G3PT_HUMAN,GAPDHS,1,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",,,,,,,576356,412585,,,,
O14562,H3BRL3;O14562,UBFD1_HUMAN,UBFD1,1,Ubiquitin domain-containing protein UBFD1,,,,,,,91102.5,101965,151402,,,
O14579;O14579-3,M0QXB4;M0R061;O14579-2;O14579-3;O14579,COPE-3_HUMAN;COPE_HUMAN,COPE,4,Coatomer subunit epsilon,141512,114405,121514,,,,165851,308377,192330,,,
O14662;O14662-2;O14662-4;O14662-5;O14662-6,O14662-2;O14662-4;O14662-5;O14662-6;H3BU86;O14662,STX16-2_HUMAN;STX16-4_HUMAN;STX16-5_HUMAN;STX16-6_HUMAN;STX16_HUMAN,STX16,2,Syntaxin-16,,,,,,,,,,,,
O14672,O14672-2;O14672,ADA10_HUMAN,ADAM10,2,Disintegrin and metalloproteinase domain-containing protein 10,,,,,,,,,,,,
O14683,E9PIK4;E9PIN5;E9PKN9;E9PKZ4;E9PMW4;E9PN66;E9PPM1;E9PQ46;E9PS55;U3KQ32;O14683,P5I11_HUMAN,TP53I11,2,Tumor protein p53-inducible protein 11,285367,259227,263607,,,,,,,,,
O14732;O14732-2,K7EL65;K7ELF8;O14732-2;O14732,IMPA2-2_HUMAN;IMPA2_HUMAN,IMPA2,2,Inositol monophosphatase 2,141687,138679,194519,,270929,,,143465,161909,118912,,282061
O14734,A0A494C0N6;H7C5A7;O14734,ACOT8_HUMAN,ACOT8,2,Acyl-coenzyme A thioesterase 8,,,,,,,,,,,,
O14735;O14735-3,B3KY94;O14735-3;O14735,CDIPT-3_HUMAN;CDIPT_HUMAN,CDIPT,2,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,,107202,,,,,,,75508,,,
O14737,K7EQA1;K7ESJ4;O14737-2;O14737,PDCD5_HUMAN,PDCD5,3,Programmed cell death protein 5,,,,,,,234814,,263731,,,
